accession	library_id	assay	context
ERR3975804	e5_atac_rep1	atac	e5
ERR3975777	e5_atac_rep1	atac	e5
ERR3975789	e5_atac_rep2	atac	e5
ERR3975761	e11_atac_rep1	atac	e11
ERR3975754	e11_atac_rep2	atac	e11
ERR3975767	e13_atac_rep1	atac	e13
ERR3975735	e13_atac_rep2	atac	e13
SRR13700624	hid_atac_rep1	atac	hid
SRR13700625	hid_atac_rep2	atac	hid
SRR15888034	ead_atac_rep2	atac	ead
SRR15888024	ead_atac_rep3	atac	ead
SRR15888109	ead_atac_rep4	atac	ead
SRR15888022	ab_atac_rep1	atac	ab
SRR15888107	ab_atac_rep2	atac	ab
SRR15888097	ab_atac_rep3	atac	ab
SRR15888018	o_atac_rep1	atac	o
SRR15888103	o_atac_rep2	atac	o
SRR15888093	o_atac_rep3	atac	o
SRR16155879	lb_atac_rep1	atac	lb
SRR16155880	lb_atac_rep2	atac	lb
SRR16155881	lb_atac_rep3	atac	lb
SRR5946184	wid_atac_rep1	atac	wid
SRR5946185	wid_atac_rep2	atac	wid
ERR3975911	e5_h3k27ac_rep1	h3k27ac	e5
ERR3976003	e5_h3k27ac_rep2	h3k27ac	e5
ERR3975901	e11_h3k27ac_rep1	h3k27ac	e11
ERR3975912	e11_h3k27ac_rep2	h3k27ac	e11
ERR3975967	e13_h3k27ac_rep1	h3k27ac	e13
ERR3975904	e13_h3k27ac_rep2	h3k27ac	e13
SRR7148579	ead_h3k27ac_rep1	h3k27ac	ead
SRR6278166	hid_h3k27ac_rep1	h3k27ac	hid
SRR6278168	hid_h3k27ac_rep2	h3k27ac	hid
SRR6278172	wid_h3k27ac_rep1	h3k27ac	wid
SRR6278174	wid_h3k27ac_rep2	h3k27ac	wid
SRR5259254	lb_h3k27ac_rep1	h3k27ac	lb
SRR5259255	lb_h3k27ac_rep2	h3k27ac	lb
SRR5319052	ab_h3k27ac_rep1	h3k27ac	ab
SRR11084657	o_h3k27ac_rep1	h3k27ac	o
